Eacicu, Oproxi, Site117, 1.0
Chalci, Ohasta, Site051, 1.0
Sal7, Egemmh, Site005, 1.0
Ichnin, Ehasta, Site027, 1.0
Sal19, Ovaria, Site020, 1.0
Ccruxx, Opedun, Site060, 1.0
Sal3, Onigri, Site002, 1.0
Sal10, Hpolit, Site121, 1.0
Svesic, Ovesic, Site103, 1.0
Enobbe, Edaphn, Site188, 1.0
Sal9, Hleuca, Site259, 1.0
Bracin, Ovimin, Site036, 1.0
Cdorsa, Halien, Site282, 1.0
Sal2, Hspira, Site344, 1.0
Epygma, Odolic, Site077, 1.0
Chalci, Osamol, Site050, 1.0
Ichnin, Oretic, Site195, 1.0
Chalci, Ohasta, Site053, 1.0
Slappo, Obridg, Site148, 1.0
Ireuni, Hpurpu, Site291, 1.0
Sal9, Hleuca, Site092, 1.0
Apusil, Heryth, Site366, 1.0
Pponta, Onival, Site046, 1.0
Eacicu, Ohasta, Site042, 1.0
Chalci, Oproxi, Site249, 1.0
Pdolic, Eelaea, Site022, 1.0
Eacicu, Ovaria, Site024, 1.0
Slappo, Obridg, Site219, 1.0
Celong, Hleuco, Site333, 1.0
Aminim, Obridg, Site041, 1.0
Polybl, Hangli, Site186, 1.0
Etoxon, Obridg, Site006, 1.0
Pdolic, Opedun, Site130, 1.0
Eacicu, Ovimin, Site002, 1.0
Celong, Hplicg, Site053, 1.0
Celong, Htuber, Site071, 1.0
Sal14, Osamol, Site143, 1.0
Aacumi, Etesta, Site197, 1.0
Broman, Onigri, Site017, 1.0
Svesic, Oproxi, Site011, 1.0
Enobbe, Emucro, Site139, 1.0
Sal35, Eweiff, Site287, 1.0
Sal8, Hplicg, Site346, 1.0
Enobbe, Epurpu, Site109, 1.0
Chalci, Omacul, Site107, 1.0
Sal3, Onigri, Site236, 1.0
Sal16, Odolic, Site145, 1.0
Chalci, Osamol, Site052, 1.0
Chalci, Etesta, Site176, 1.0
Sal23, Oretic, Site192, 1.0
Sal16, Hplicp, Site044, 1.0
Enobbe, Edaphn, Site106, 1.0
Svesic, Ovimin, Site041, 1.0
Esalic, Eelaea, Site112, 1.0
Smorle, Hleuca, Site332, 1.0
Svesic, Ohasta, Site151, 1.0
Ichnin, Obridg, Site153, 1.0
Enobbe, Eaurit, Site182, 1.0
Acubic, Oarcti, Site015, 1.0
Pponta, Oarcti, Site049, 1.0
Acubic, Oarcti, Site053, 1.0
Pdolic, Ocolla, Site150, 1.0
Sal16, Oarcti, Site285, 1.0
Sal18, Ogalla, Site089, 1.0
Sal25, Obella, Site141, 1.0
Apusil, Hpolit, Site252, 1.0
Broman, Oretic, Site028, 1.0
Eacicu, Opedun, Site247, 1.0
Eacicu, Oadaph, Site318, 1.0
Snigri, Hnudip, Site353, 1.0
Ccruxx, Ovesic, Site188, 1.0
Binter, Obella, Site140, 1.0
Pdolic, Oproxi, Site332, 1.0
Bdisco, Ovesic, Site060, 1.0
Slappo, Osamol, Site071, 1.0
Bracin, Oobscu, Site192, 1.0
Pdolic, Obridg, Site006, 1.0
Ccruxx, Oelaea, Site021, 1.0
Broman, Olappl, Site046, 1.0
Sal27, Oglabr, Site143, 1.0
Chalci, Oherba, Site054, 1.0
Eacicu, Oglabr, Site077, 1.0
Sal6, Edaphn, Site109, 1.0
Chalci, Enigri, Site188, 1.0
Sal11, Oproxi, Site189, 1.0
Sal17, Eboreo, Site204, 1.0
Sal17, Onival, Site046, 1.0
Broman, Osamol, Site078, 1.0
Celong, Hpolit, Site291, 1.0
Binter, Ovesic, Site244, 1.0
Sal14, Hacuti, Site286, 1.0
Chalci, Ogalla, Site019, 1.0
Chalci, Oadaph, Site137, 1.0
Sal17, Hplicg, Site213, 1.0
Sal16, Odolic, Site285, 1.0
Ilappo, Olappo, Site016, 1.0
Sal2, Obridg, Site120, 1.0
Aminim, Opedun, Site116, 1.0
Chalci, Elappo, Site144, 1.0
Pdolic, Odolic, Site256, 1.0
Sal20, Oobscu, Site220, 1.0
Pdolic, Oobscu, Site020, 1.0
Latole, Obridg, Site347, 1.0
Sal14, Olappo, Site042, 1.0
Ichnin, Hplicg, Site278, 1.0
Sal9, Hleuca, Site313, 1.0
Celong, Hspira, Site100, 1.0
Svesic, Omacul, Site034, 1.0
Pnemat, Oproxi, Site186, 1.0
Celong, Hplicg, Site356, 1.0
Broman, Oherba, Site054, 1.0
Eacicu, Ovimin, Site124, 1.0
Hruber, Ofoeti, Site035, 1.0
Sal6, Edaphn, Site104, 1.0
Sal19, Hischn, Site020, 1.0
Chalci, Ehasta, Site120, 1.0
Celong, Hleuco, Site269, 1.0
Sal10, Oviril, Site358, 1.0
Celong, Hplicg, Site024, 1.0
Sal18, Ogalla, Site243, 1.0
Strico, Hpruss, Site302, 1.0
Esalic, Eelaea, Site021, 1.0
Chalci, Emucro, Site183, 1.0
Chalci, Ogalla, Site048, 1.0
Mesole, Oretus, Site195, 1.0
Sal17, Hplicg, Site278, 1.0
Chalci, Eweiff, Site131, 1.0
Broman, Oretic, Site055, 1.0
Chalci, Eatraa, Site062, 1.0
Adelog, Hsglab, Site127, 1.0
Ccruxx, Ocolla, Site097, 1.0
Celong, Hpolit, Site060, 1.0
Sal9, Hpruss, Site006, 1.0
Celong, Ospset, Site144, 1.0
Sal2, Hpscho, Site344, 1.0
Chalci, Obridg, Site034, 1.0
Chalci, Obridg, Site018, 1.0
Pdolic, Obridg, Site041, 1.0
Chalci, Ocolla, Site095, 1.0
Svesic, Oobscu, Site110, 1.0
Aacumi, Eaurit, Site298, 1.0
Lpunct, Hischn, Site074, 1.0
Sal14, Elappo, Site090, 1.0
Sal30, Omyrti, Site143, 1.0
Chalci, Opedun, Site006, 1.0
Chalci, Osamol, Site042, 1.0
Sal25, Heryth, Site308, 1.0
Sal25, Heryth, Site169, 1.0
Ccruxx, Oviril, Site041, 1.0
Cflavi, Hplicp, Site044, 1.0
Pdolic, Olappo, Site015, 1.0
Broman, Obella, Site287, 1.0
Svesic, Olappl, Site077, 1.0
Sal10, Ovesic, Site060, 1.0
Svesic, Ovimin, Site190, 1.0
Svesic, Oproxi, Site241, 1.0
Sal2, Obridg, Site225, 1.0
Lforti, Evenus, Site088, 1.0
Claevi, Omacul, Site026, 1.0
Sal10, Hpolit, Site291, 1.0
Sal9, Egemmc, Site130, 1.0
Sal31, Hangli, Site135, 1.0
Chalci, Elanat, Site053, 1.0
Llugen, Obridg, Site041, 1.0
Sal17, Hplicg, Site077, 1.0
Pdolic, Ofoeti, Site100, 1.0
Hruber, Ovaria, Site143, 1.0
Sal16, Hnudip, Site144, 1.0
Sal5, Ohasta, Site055, 1.0
Pdolic, Egemmf, Site027, 1.0
Pdolic, Oglauc, Site046, 1.0
Chalci, Ovaria, Site017, 1.0
Chalci, Oglabr, Site078, 1.0
Sal10, Hpolit, Site041, 1.0
Etorym, Ohasta, Site143, 1.0
Esalic, Emucro, Site180, 1.0
Llugen, Oproxi, Site241, 1.0
Eacicu, Opedun, Site060, 1.0
Eacicu, Oarcti, Site049, 1.0
Sal3, Onigri, Site071, 1.0
Chalci, Ovesic, Site124, 1.0
Chalci, Omyrti, Site144, 1.0
Pdolic, Oproxi, Site248, 1.0
Acubic, Olappo, Site046, 1.0
Pdolic, Evenus, Site152, 1.0
Sal2, Eappen, Site171, 1.0
Sal14, Olappl, Site042, 1.0
Eacicu, Onival, Site143, 1.0
Sal6, Oadaph, Site109, 1.0
Sal18, Hleuco, Site262, 1.0
Svesic, Obridg, Site048, 1.0
Chalci, Oobscu, Site120, 1.0
Ccruxx, Obridg, Site236, 1.0
Etorym, Ovaria, Site255, 1.0
Sal3, Ovaria, Site081, 1.0
Chalci, Ovaria, Site005, 1.0
Chalci, Odolic, Site145, 1.0
Eacicu, Ohasta, Site137, 1.0
Chalci, Ovimin, Site027, 1.0
Svesic, Ocolla, Site095, 1.0
Sal6, Edaphn, Site102, 1.0
Chalci, Oretic, Site229, 1.0
Sal14, Elappo, Site042, 1.0
Ccruxx, Ovaria, Site021, 1.0
Ecalca, Hoblit, Site294, 1.0
Sal5, Ohasta, Site053, 1.0
Pdolic, Oelaea, Site022, 1.0
Celong, Hpruss, Site338, 1.0
Sal14, Hplicl, Site211, 1.0
Bpicti, Ovaria, Site020, 1.0
Svesic, Olappl, Site078, 1.0
Svesic, Oproxi, Site038, 1.0
Sal9, Hpruss, Site314, 1.0
Sal14, Elappo, Site085, 1.0
Sal3, Ovaria, Site144, 1.0
Eacicu, Ovesic, Site188, 1.0
Sal31, Hangli, Site191, 1.0
Pdolic, Olappl, Site090, 1.0
Svesic, Onigri, Site256, 1.0
Sal14, Hplicl, Site043, 1.0
Eacicu, Olappo, Site043, 1.0
Ilappo, Obridg, Site041, 1.0
Svesic, Onival, Site143, 1.0
Pdolic, Oproxi, Site061, 1.0
Adelog, Hspira, Site252, 1.0
Ichnin, Hnudip, Site372, 1.0
Svesic, Oherba, Site075, 1.0
Sal14, Elappo, Site052, 1.0
Celong, Hpruss, Site130, 1.0
Sal3, Hischn, Site275, 1.0
Bracin, Olappo, Site046, 1.0
Ccruxx, Okriec, Site112, 1.0
Etorym, Omacul, Site028, 1.0
Pdolic, Oglauc, Site047, 1.0
Sal10, Hpurpu, Site358, 1.0
Sal18, Hanoma, Site306, 1.0
Bepitr, Ovesic, Site021, 1.0
Chalci, Ovimin, Site158, 1.0
Celong, Hacuti, Site091, 1.0
Llugen, Oobscu, Site035, 1.0
Broman, Olappl, Site078, 1.0
Etorym, Ovaria, Site143, 1.0
Sal25, Halien, Site374, 1.0
Pnemat, Oproxi, Site098, 1.0
Sal2, Hspira, Site262, 1.0
Etorym, Ovesic, Site036, 1.0
Celong, Hpruss, Site006, 1.0
Ccruxx, Oproxi, Site060, 1.0
Ccruxx, Oproxi, Site013, 1.0
Sal9, Hpruss, Site233, 1.0
Chalci, Ohasta, Site107, 1.0
Chalci, Elanat, Site016, 1.0
Sal14, Hacuti, Site353, 1.0
